id,text,score,valence
168,"Seduced by Snacks? No, Not You",anger,39
169,Friends for Life An Emerging Biology of Emotional Healing,anger,32
170,"Alzheimer's Drugs Offer No Help, Study Finds",anger,26
171,"Across Europe, Worries on Islam Spread to Center",anger,0
172,Cooking Defines Sephardic Jews at Sukkot,anger,33
173,"Fitness Bodies in Motion, Clean and Sober",anger,10
174,In God's Name Religion-Based Tax Breaks Housing to Paychecks to Books,anger,0
175,"Yankee Dies in Plane Crash, Official Says",anger,0
176,An Elephant Crackup?,anger,0
177,"With YouTube, Grad Student Hits Jackpot Again",anger,0
178,Dow flirts with record highs again,anger,11
179,Tropical Storm Isaac forms in Atlantic,anger,0
180,New Iraq terror tape calls for abducting foreigners,anger,0
181,'Deep regret' for ex-HP exec,anger,0
182,'Opportunity' knocks on geologist's dream crater,anger,37
183,Squirrel jumps boy in park; rabies suspected,anger,0
184,Girl left comatose after dental visit dies,anger,0
185,Porn star candidate campaigns on campus,anger,28
186,School ends football season after 0-4 start,anger,39
187,Charlie Sheen to become highest-paid sitcom star,anger,31
188,Jon Stewart mocks benefits of CNN's I,anger,0
189,Ashton Kutcher tells secret to Ryan Seacrest,anger,3
190,Nails-on-chalkboard study earns Ig,anger,13
191,Gunman 'fine' before shooting,anger,0
192,Marijuana may stave off Alzheimer's,anger,4
193,Kentucky seeks alcohol huffing ban,anger,6
194,Toddler died from tainted spinach,anger,0
195,Judge dismisses Karr's porn case,anger,4
196,10 die in 22-hour Kashmir standoff,anger,59
197,Slain Amish girls laid to rest,anger,6
198,"5,000 flee plant fire",anger,50
199,Cher auction fetches double pre-sale estimates,anger,22
200,Stars scuffle on 'Grey's Anatomy',anger,30
201,Probe under way in Yankee crash,anger,0
202,Amish schoolhouse torn down,anger,15
203,Warner will not run in '08,anger,2
204,Reid land deal under scrutiny,anger,29
205,"Flooding washes out road to Valdez, Alaska",anger,0
206,Briton admits U.S. bomb plot role,anger,2
207,Commentary Minutemen have a right to be idiotic,anger,0
208,Madonna files adoption papers,anger,23
209,Gunmen kill 9 at Iraqi TV station,anger,7
210,Hastert sorry for scandal but not quitting,anger,0
211,Ex-JonBenet suspect Child porn case dropped ,anger,28
212,"Waste plant fire forces 5,000 to evacuate ",anger,4
213,Toddler died from E. coli tainted spinach ,anger,5
214,Disturbing finds in child sex raids ,anger,26
215,Magazine lists women who had abortions ,anger,25
216,"Pot smokers may avoid Alzheimer's, study says ",anger,50
217,Student starts white men's club on campus ,anger,40
218,Kentucky wants to ban alcohol inhalers ,anger,0
219,Peter Pan flies into chapter two ,anger,7
220,Teen repellent inventor wins infamous prize ,anger,0
221,"Cher's dress, car, bed have new owners",anger,0
222,"Dow hits new record, eyes 12,000 ",anger,0
223,Ex-Virginia gov not running for president ,anger,0
224,Yankee pitcher's pilot log found ,anger,0
225,Dem leader's $1 million land deal under scrutiny ,anger,0
226,"Dad locked up son, watched on TV, police say ",anger,0
228,"Pit bulls jump miniature pony, leave her bloody ",anger,15
229,Alaska town cut off from rest of state by flood ,anger,4
230,Trailblazing trio protects City by the Bay ,anger,3
231,Madonna files adoption papers in Malawi,anger,4
232,'Dr. McDreamy' choked in 'Grey's' scuffle ,anger,3
233,"$10,000 poetry prize awarded ",anger,0
234,Las Vegas honour for tiger pair ,anger,0
235,UK characters boosting box office ,anger,0
236,Cher items snapped up at auction ,anger,0
237,Griffiths scorns Withnail 'play' ,anger,0
238,Lily Allen wins web music award ,anger,0
239,Costner appeals in casino wrangle,anger,0
240,Beyonce copyright claim rejected ,anger,12
241,Cohn gunman jailed for 36 years ,anger,0
242,Melua's deep sea gig sets record ,anger,55
243,Sri Lanka clashes kill 129 troops ,anger,10
244,Gunmen kill 11 in Iraq TV raid ,anger,13
245,Italy drops Sicily bridge plans ,anger,0
246,Amish killings school demolished ,anger,21
247,Pamuk wins Nobel Literature prize,anger,50
248,Madonna adoption bid approved ,anger,0
249,Man admits UK-US terror bomb plot,anger,33
250,Who are you calling fat?,anger,0
